Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
12:14:42:159,152.9097,0,RTdata,0.003 -0.029 -0.080,349.625 355.270 0.178,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:42:180,152.9319,0,RTdata,0.003 -0.029 -0.080,349.640 355.273 0.181,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:42:222,152.9722,0,RTdata,0.003 -0.029 -0.080,349.603 355.257 0.181,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:42:246,152.9952,0,RTdata,0.003 -0.029 -0.080,349.625 355.254 0.178,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:42:266,153.0185,0,RTdata,0.003 -0.029 -0.080,349.652 355.251 0.182,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:42:304,153.0544,0,RTdata,0.003 -0.029 -0.080,349.613 355.257 0.178,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:42:323,153.0765,0,RTdata,0.002 -0.029 -0.080,349.655 355.250 0.181,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:42:353,153.105,0,RTdata,0.002 -0.029 -0.080,349.590 355.247 0.180,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.181 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:42:375,153.1259,0,RTdata,0.002 -0.029 -0.080,349.640 355.241 0.178,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.094 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:42:395,153.1478,0,RTdata,0.002 -0.029 -0.080,349.626 355.241 0.174,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.094 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
