Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
15:04:56:429,62.61003,1,RTdata,3.403 -0.085 -3.634,7.857 340.531 1.044,-0.274 -0.033 0.961,1,1,OtherParticipant,1.927 1.497 -4.820,-0.932 -0.137 -0.335,-0.960 -0.033 -0.279,0.733 1.451 -5.166,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,165.716 173.350,245.450 163.967,NaN,
15:04:56:463,62.64405,1,RTdata,3.403 -0.085 -3.634,7.820 340.479 1.044,-0.263 -0.057 0.963,1,1,OtherParticipant,1.927 1.498 -4.819,-0.932 -0.136 -0.336,-0.962 -0.057 -0.267,1.111 1.445 -5.046,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,166.130 173.919,245.000 163.702,NaN,
15:04:56:496,62.6771,1,RTdata,3.403 -0.085 -3.634,7.802 340.432 1.057,-0.270 -0.039 0.962,1,1,OtherParticipant,1.927 1.498 -4.819,-0.932 -0.136 -0.336,-0.961 -0.039 -0.274,0.644 1.441 -5.186,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,166.615 173.667,245.240 163.801,NaN,
15:04:56:529,62.71044,1,RTdata,3.404 -0.084 -3.634,7.797 340.399 1.057,-0.272 -0.037 0.962,1,1,OtherParticipant,1.927 1.498 -4.819,-0.932 -0.136 -0.337,-0.960 -0.037 -0.277,0.505 1.439 -5.229,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,166.378 174.018,244.542 163.496,NaN,
15:04:56:562,62.74365,1,RTdata,3.404 -0.084 -3.634,7.811 340.380 1.064,-0.276 -0.042 0.960,1,1,OtherParticipant,1.927 1.498 -4.819,-0.932 -0.136 -0.337,-0.959 -0.042 -0.281,0.645 1.438 -5.194,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,166.657 174.162,244.558 163.604,NaN,
15:04:56:595,62.77688,1,RTdata,3.404 -0.084 -3.634,7.830 340.368 1.077,-0.261 -0.059 0.964,1,1,OtherParticipant,1.927 1.498 -4.818,-0.931 -0.136 -0.337,-0.962 -0.059 -0.265,1.070 1.442 -5.055,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,167.134 174.186,244.523 163.141,NaN,
15:04:56:613,62.79379,1,Event,,,,0,0,none,,,,,,,,,,,,,,Other participant just collected coin: 0
15:04:56:629,62.8102,1,RTdata,3.404 -0.084 -3.634,7.841 340.359 1.079,-0.273 -0.039 0.961,1,1,fakeWallSouth,1.927 1.498 -4.818,-0.931 -0.136 -0.338,-0.960 -0.039 -0.278,0.533 1.438 -5.222,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,166.666 174.113,244.297 163.554,NaN,
15:04:56:662,62.84382,1,RTdata,3.405 -0.084 -3.634,7.836 340.345 1.050,-0.275 -0.038 0.961,1,1,fakeWallSouth,1.927 1.498 -4.818,-0.931 -0.136 -0.338,-0.959 -0.038 -0.280,0.621 1.442 -5.200,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,166.798 174.229,244.190 163.438,NaN,
15:04:56:695,62.87733,1,RTdata,3.405 -0.084 -3.634,7.816 340.349 1.006,-0.271 -0.040 0.962,1,1,fakeWallSouth,1.926 1.498 -4.818,-0.931 -0.136 -0.338,-0.960 -0.040 -0.276,0.732 1.444 -5.162,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,167.389 174.207,244.336 163.436,NaN,
15:04:56:730,62.91035,1,RTdata,3.405 -0.084 -3.634,7.791 340.390 0.968,-0.271 -0.038 0.962,1,1,fakeWallSouth,1.926 1.498 -4.817,-0.932 -0.136 -0.337,-0.960 -0.038 -0.276,0.665 1.444 -5.181,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,166.327 174.062,244.610 163.870,NaN,
15:04:56:762,62.94364,1,RTdata,3.405 -0.084 -3.633,7.786 340.463 0.952,-0.274 -0.041 0.961,1,1,fakeWallSouth,1.926 1.499 -4.817,-0.932 -0.135 -0.336,-0.959 -0.041 -0.279,0.813 1.447 -5.143,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,167.191 173.486,244.164 163.608,NaN,
15:04:56:796,62.97744,1,RTdata,3.405 -0.083 -3.633,7.831 340.536 0.956,-0.271 -0.041 0.962,1,1,fakeWallSouth,1.926 1.499 -4.817,-0.932 -0.136 -0.335,-0.960 -0.041 -0.275,0.651 1.441 -5.185,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,166.996 173.399,243.957 164.105,NaN,
15:04:56:830,63.01103,1,RTdata,3.405 -0.083 -3.633,7.885 340.587 0.967,-0.271 -0.043 0.962,1,1,fakeWallSouth,1.926 1.499 -4.817,-0.933 -0.137 -0.334,-0.960 -0.043 -0.276,0.621 1.438 -5.194,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,166.676 173.276,244.413 163.886,NaN,
15:04:56:863,63.04418,1,RTdata,3.405 -0.083 -3.633,7.928 340.612 0.993,-0.271 -0.042 0.962,1,1,fakeWallSouth,1.925 1.499 -4.817,-0.933 -0.138 -0.333,-0.960 -0.042 -0.275,0.726 1.444 -5.162,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,166.881 173.309,244.730 164.334,NaN,
15:04:56:895,63.07743,1,RTdata,3.405 -0.083 -3.633,7.961 340.618 1.035,-0.347 -0.071 0.935,1,1,fakeWallSouth,1.925 1.499 -4.818,-0.933 -0.139 -0.333,-0.934 -0.071 -0.351,0.590 1.394 -5.321,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,4.529,195.680,173.833 164.294,246.328 177.938,106.799,
