Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,Message
14:11:08:350,2277.369,12,RTdata,-4.929 -0.034 -3.716,2.112 249.494 3.530,-0.954 -0.283 -0.101,0.0,0.0,fakeGround,0.879 1.410 -3.409,0.834 -0.037 0.551,0.907 -0.283 0.312,1.139 1.327 -3.550,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:384,2277.403,12,RTdata,-4.929 -0.035 -3.721,1.611 246.750 3.068,-0.653 -0.175 -0.737,1.0,1.0,fakeGround,0.878 1.409 -3.404,0.807 -0.028 0.590,0.471 -0.175 0.864,1.043 1.353 -3.120,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:418,2277.436,12,RTdata,-4.929 -0.035 -3.725,1.160 244.378 2.402,-0.599 -0.157 -0.785,1.0,1.0,fakeGround,0.877 1.409 -3.400,0.782 -0.020 0.623,0.409 -0.157 0.899,1.034 1.377 -3.113,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:450,2277.469,12,RTdata,-4.929 -0.036 -3.729,0.848 242.420 1.621,-0.594 -0.154 -0.789,1.0,1.0,fakeGround,0.876 1.408 -3.396,0.760 -0.015 0.649,0.402 -0.154 0.902,1.034 1.377 -3.113,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:484,2277.503,12,RTdata,-4.928 -0.036 -3.733,0.605 240.707 0.954,-0.594 -0.154 -0.789,1.0,1.0,fakeGround,0.874 1.408 -3.392,0.741 -0.011 0.672,0.402 -0.154 0.902,1.034 1.377 -3.113,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:517,2277.536,12,RTdata,-4.927 -0.037 -3.737,0.437 239.542 0.465,-0.567 -0.151 -0.810,1.0,1.0,fakeGround,0.872 1.407 -3.389,0.727 -0.008 0.687,0.371 -0.151 0.916,1.002 1.379 -3.088,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:551,2277.569,12,RTdata,-4.924 -0.038 -3.741,0.095 238.932 0.392,-0.569 -0.148 -0.809,1.0,1.0,fakeGround,0.869 1.406 -3.386,0.719 -0.002 0.695,0.374 -0.148 0.916,0.999 1.381 -3.088,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:584,2277.603,12,RTdata,-4.920 -0.040 -3.743,359.771 238.710 0.614,-0.513 -0.155 -0.844,1.0,1.0,fakeGround,0.864 1.404 -3.384,0.717 0.004 0.697,0.312 -0.155 0.937,0.974 1.356 -3.064,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:618,2277.636,12,RTdata,-4.915 -0.041 -3.746,359.797 238.956 0.783,-0.511 -0.151 -0.846,1.0,1.0,fakeGround,0.859 1.403 -3.383,0.720 0.004 0.694,0.309 -0.151 0.939,0.967 1.357 -3.061,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:651,2277.669,12,RTdata,-4.909 -0.043 -3.747,0.074 239.760 0.899,-0.517 -0.162 -0.841,1.0,1.0,fakeGround,0.853 1.401 -3.383,0.729 -0.001 0.684,0.316 -0.162 0.935,0.986 1.365 -3.085,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:685,2277.703,12,RTdata,-4.902 -0.044 -3.747,0.327 241.081 1.057,-0.645 -0.151 -0.749,1.0,1.0,fakeGround,0.845 1.400 -3.385,0.745 -0.006 0.667,0.461 -0.151 0.875,0.995 1.358 -3.099,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
