Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message,BlockNum,RoundNum,BlockType,CoinSetID
13:56:36:378,109.7809,0,RTdata,-2.864 0.410 -2.001,32.572 291.446 358.740,-0.808 -0.558 0.189,1.0,1.0,fakeGround,0.136 1.836 -4.936,0.836 -0.538 -0.105,0.830 -0.558 0.017,1.802 0.719 -4.905,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,145.577 126.212,243.730 152.548,,,1.0,1.0,collecting,4.0
13:56:36:411,109.8142,0,RTdata,-2.864 0.410 -2.002,32.533 291.381 358.720,-0.809 -0.557 0.188,1.0,1.0,fakeGround,0.135 1.836 -4.935,0.837 -0.538 -0.104,0.830 -0.557 0.018,1.802 0.719 -4.905,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,146.361 130.677,242.462 155.250,,,1.0,1.0,collecting,4.0
13:56:36:444,109.8472,0,RTdata,-2.864 0.410 -2.003,32.484 291.381 358.710,-0.809 -0.557 0.188,0.0,0.0,fakeGround,0.135 1.836 -4.934,0.837 -0.537 -0.104,0.830 -0.557 0.018,1.802 0.719 -4.905,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,0.000 0.000,242.337 160.109,,,1.0,1.0,collecting,4.0
13:56:36:478,109.8811,0,RTdata,-2.863 0.410 -2.004,32.411 291.455 358.728,-0.809 -0.557 0.188,0.0,0.0,fakeGround,0.134 1.836 -4.933,0.838 -0.536 -0.105,0.830 -0.557 0.018,1.802 0.719 -4.905,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,0.000 0.000,0.000 0.000,,,1.0,1.0,collecting,4.0
13:56:36:511,109.9145,0,RTdata,-2.863 0.410 -2.005,32.299 291.581 358.783,-0.809 -0.557 0.188,0.0,0.0,fakeGround,0.133 1.837 -4.932,0.838 -0.534 -0.107,0.830 -0.557 0.018,1.802 0.719 -4.905,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,0.000 0.000,0.000 0.000,,,1.0,1.0,collecting,4.0
13:56:36:544,109.9478,0,RTdata,-2.862 0.411 -2.006,32.152 291.724 358.874,-0.809 -0.557 0.188,0.0,0.0,fakeGround,0.133 1.837 -4.931,0.840 -0.532 -0.109,0.830 -0.557 0.018,1.802 0.719 -4.905,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,150.235 136.579,240.513 149.059,,,1.0,1.0,collecting,4.0
13:56:36:578,109.9812,0,RTdata,-2.862 0.411 -2.008,31.966 291.849 358.996,-0.809 -0.557 0.188,0.0,0.0,fakeGround,0.132 1.837 -4.930,0.841 -0.529 -0.111,0.830 -0.557 0.018,1.802 0.719 -4.905,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,139.563 133.821,244.196 147.690,,,1.0,1.0,collecting,4.0
13:56:36:611,110.0145,0,RTdata,-2.861 0.412 -2.008,31.768 291.927 359.099,-0.809 -0.557 0.188,0.0,0.0,fakeGround,0.131 1.838 -4.930,0.843 -0.526 -0.113,0.830 -0.557 0.018,1.802 0.719 -4.905,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,140.593 132.888,243.183 147.327,,,1.0,1.0,collecting,4.0
13:56:36:645,110.048,0,RTdata,-2.860 0.412 -2.009,31.581 291.971 359.137,-0.809 -0.557 0.188,0.0,0.0,fakeGround,0.130 1.838 -4.929,0.844 -0.524 -0.114,0.830 -0.557 0.018,1.802 0.719 -4.905,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,141.297 132.139,242.696 146.286,,,1.0,1.0,collecting,4.0
13:56:36:678,110.0816,0,RTdata,-2.860 0.412 -2.010,31.408 292.002 359.141,-0.809 -0.530 0.255,0.0,1.0,fakeGround,0.129 1.839 -4.928,0.846 -0.521 -0.114,0.847 -0.530 -0.047,1.366 1.063 -4.998,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,3.085,18.957,142.016 131.459,242.111 145.888,74.862,,1.0,1.0,collecting,4.0
13:56:36:712,110.1148,0,RTdata,-2.859 0.413 -2.011,31.234 292.053 359.137,-0.809 -0.528 0.259,1.0,1.0,fakeGround,0.129 1.839 -4.928,0.847 -0.519 -0.115,0.848 -0.528 -0.051,1.644 0.893 -5.018,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.083,241.16,142.336 131.033,241.926 145.475,2.504,,1.0,1.0,collecting,4.0
