Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
15:04:19:264,300.8438,1,RTdata,-0.092 0.333 -5.467,10.963 259.176 357.491,-0.976 -0.195 -0.100,0,0,fakeGround,-3.028 1.742 -2.738,0.928 -0.190 0.320,0.951 -0.195 0.238,-1.919 1.515 -2.432,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,111.165 151.784,264.187 98.001,NaN,
15:04:19:298,300.8777,1,RTdata,-0.092 0.333 -5.467,11.019 259.591 357.574,-0.976 -0.195 -0.100,0,0,fakeGround,-3.028 1.742 -2.739,0.930 -0.191 0.314,0.951 -0.195 0.238,-1.919 1.515 -2.432,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,111.840 150.017,263.617 97.099,NaN,
15:04:19:332,300.9113,1,RTdata,-0.092 0.332 -5.466,11.079 260.021 357.683,-0.988 -0.084 0.130,1,1,fakeWallEast,-3.028 1.742 -2.740,0.932 -0.192 0.307,0.996 -0.084 0.012,-1.092 1.585 -2.703,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,10.939,26.138,112.566 148.335,264.802 96.102,11.419,
15:04:19:365,300.9445,1,RTdata,-0.091 0.332 -5.465,11.127 260.446 357.785,-0.986 -0.100 0.136,1,1,fakeWallEast,-3.028 1.742 -2.741,0.934 -0.193 0.300,0.995 -0.100 0.006,-0.712 1.515 -2.709,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.363,181.594,112.982 146.838,263.516 95.333,10.883,
15:04:19:398,300.9778,1,RTdata,-0.091 0.332 -5.464,11.162 260.851 357.879,-0.986 -0.096 0.138,1,1,fakeWallEast,-3.029 1.742 -2.741,0.936 -0.194 0.293,0.995 -0.096 0.004,-0.794 1.530 -2.717,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,113.576 145.461,264.516 94.825,NaN,
15:04:19:432,301.011,1,RTdata,-0.091 0.332 -5.464,11.200 261.212 357.963,-0.986 -0.097 0.137,1,1,fakeWallEast,-3.029 1.742 -2.742,0.938 -0.194 0.287,0.995 -0.097 0.005,-1.130 1.561 -2.721,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,113.959 144.405,264.226 94.736,NaN,
15:04:19:465,301.0446,1,RTdata,-0.091 0.332 -5.463,11.255 261.552 358.022,-0.985 -0.103 0.140,1,1,fakeWallEast,-3.029 1.742 -2.743,0.940 -0.195 0.281,0.995 -0.103 0.002,-0.417 1.477 -2.723,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,114.449 143.614,264.577 94.876,NaN,
15:04:19:498,301.0778,1,RTdata,-0.090 0.332 -5.462,11.321 261.901 358.063,-0.985 -0.102 0.138,1,1,fakeWallEast,-3.029 1.742 -2.744,0.941 -0.196 0.276,0.995 -0.102 0.005,-0.848 1.525 -2.721,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,114.422 142.984,264.808 95.035,NaN,
15:04:19:532,301.1116,1,RTdata,-0.090 0.332 -5.461,11.373 262.285 358.104,-0.985 -0.103 0.142,1,1,fakeWallEast,-3.029 1.742 -2.745,0.943 -0.197 0.269,0.995 -0.103 0.001,-0.510 1.487 -2.727,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,114.369 142.294,265.716 95.443,NaN,
15:04:19:565,301.1446,1,RTdata,-0.090 0.332 -5.460,11.404 262.693 358.132,-0.984 -0.106 0.141,1,1,fakeWallEast,-3.030 1.741 -2.746,0.944 -0.198 0.262,0.994 -0.106 0.002,-0.734 1.503 -2.726,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,114.581 141.665,265.810 95.895,NaN,
